"filename", "language", "C++", "Makefile", "Go", "Docker", "Markdown", "JSON", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder_init\execute\parse\line_parsers.cpp", "C++", 385, 0, 0, 0, 0, 0, 33, 51, 469
"e:\Projects\VScodeProjects\ocibuilder_init\execute\parse\parse.cpp", "C++", 378, 0, 0, 0, 0, 0, 131, 66, 575
"e:\Projects\VScodeProjects\ocibuilder_init\execute\parse\split_command.cpp", "C++", 104, 0, 0, 0, 0, 0, 5, 10, 119
"e:\Projects\VScodeProjects\ocibuilder_init\execute\pflag\value.cpp", "C++", 165, 0, 0, 0, 0, 0, 202, 4, 371
"e:\Projects\VScodeProjects\ocibuilder_init\execute\reference\reference.cpp", "C++", 35, 0, 0, 0, 0, 0, 0, 3, 38
"e:\Projects\VScodeProjects\ocibuilder_init\execute\regexp\regexp.cpp", "C++", 242, 0, 0, 0, 0, 0, 27, 52, 321
"e:\Projects\VScodeProjects\ocibuilder_init\execute\selinux\selinux.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 8
"e:\Projects\VScodeProjects\ocibuilder_init\execute\selinux\selinux_linux.cpp", "C++", 43, 0, 0, 0, 0, 0, 23, 12, 78
"e:\Projects\VScodeProjects\ocibuilder_init\execute\semaphore\semaphore.cpp", "C++", 69, 0, 0, 0, 0, 0, 30, 18, 117
"e:\Projects\VScodeProjects\ocibuilder_init\execute\shell\lex.cpp", "C++", 312, 0, 0, 0, 0, 0, 14, 32, 358
"e:\Projects\VScodeProjects\ocibuilder_init\execute\signature\policy_config.cpp", "C++", 29, 0, 0, 0, 0, 0, 1, 7, 37
"e:\Projects\VScodeProjects\ocibuilder_init\execute\signature\policy_eval.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 4, 10
"e:\Projects\VScodeProjects\ocibuilder_init\execute\signature\policy_types.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\images.cpp", "C++", 42, 0, 0, 0, 0, 0, 9, 4, 55
"e:\Projects\VScodeProjects\ocibuilder_init\execute\storage\overlay\overlay.cpp", "C++", 139, 0, 0, 0, 0, 0, 101, 41, 281
