"filename", "language", "C++", "XML", "Batch", "Shell Script", "Diff", "Ruby", "Perl", "comment", "blank", "total"
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\finder.hpp", "C++", 133, 0, 0, 0, 0, 0, 0, 110, 24, 267
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\formatter.hpp", "C++", 49, 0, 0, 0, 0, 0, 0, 52, 19, 120
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\iter_find.hpp", "C++", 105, 0, 0, 0, 0, 0, 0, 63, 34, 202
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\join.hpp", "C++", 64, 0, 0, 0, 0, 0, 0, 55, 27, 146
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\predicate.hpp", "C++", 221, 0, 0, 0, 0, 0, 0, 202, 54, 477
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\predicate_facade.hpp", "C++", 10, 0, 0, 0, 0, 0, 0, 21, 12, 43
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\regex.hpp", "C++", 346, 0, 0, 0, 0, 0, 0, 242, 59, 647
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\regex_find_format.hpp", "C++", 38, 0, 0, 0, 0, 0, 0, 37, 16, 91
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\replace.hpp", "C++", 489, 0, 0, 0, 0, 0, 0, 381, 57, 927
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\sequence_traits.hpp", "C++", 54, 0, 0, 0, 0, 0, 0, 42, 25, 121
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\split.hpp", "C++", 61, 0, 0, 0, 0, 0, 0, 95, 20, 176
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\std\list_traits.hpp", "C++", 43, 0, 0, 0, 0, 0, 0, 11, 15, 69
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\std\rope_traits.hpp", "C++", 54, 0, 0, 0, 0, 0, 0, 12, 16, 82
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\std\slist_traits.hpp", "C++", 44, 0, 0, 0, 0, 0, 0, 11, 15, 70
"e:\Projects\VScodeProjects\ocibuilder\include\boost\algorithm\string\std\string_traits.hpp", "C++", 21, 0, 0, 0, 0, 0, 0, 9, 15, 45
