"filename", "language", "Markdown", "C++", "Docker", "Makefile", "Go", "JSON", "Doxyfile", "comment", "blank", "total"
"d:\BaiduSyncdisk\OCI\include\define\build.h", "C++", 0, -187, 0, 0, 0, 0, 0, -253, -13, -453
"d:\BaiduSyncdisk\OCI\include\define\namespace.h", "C++", 0, -18, 0, 0, 0, 0, 0, 0, -2, -20
"d:\BaiduSyncdisk\OCI\include\define\pull.h", "C++", 0, -22, 0, 0, 0, 0, 0, 0, -4, -26
"d:\BaiduSyncdisk\OCI\include\define\specs.h", "C++", 0, -24, 0, 0, 0, 0, 0, -8, -4, -36
"d:\BaiduSyncdisk\OCI\include\define\types.h", "C++", 0, -122, 0, 0, 0, 0, 0, -69, -13, -204
"d:\BaiduSyncdisk\OCI\include\docker\reference.h", "C++", 0, -46, 0, 0, 0, 0, 0, -1, -3, -50
"d:\BaiduSyncdisk\OCI\include\github\digest.h", "C++", 0, -11, 0, 0, 0, 0, 0, 0, -4, -15
"d:\BaiduSyncdisk\OCI\include\imagebuildah\build.h", "C++", 0, -12, 0, 0, 0, 0, 0, 0, -3, -15
"d:\BaiduSyncdisk\OCI\include\pflag\value.h", "C++", 0, -88, 0, 0, 0, 0, 0, -42, -2, -132
"d:\BaiduSyncdisk\OCI\include\pkg\auth\auth.h", "C++", 0, -7, 0, 0, 0, 0, 0, 0, -2, -9
"d:\BaiduSyncdisk\OCI\include\pkg\idtools\idtools.h", "C++", 0, -28, 0, 0, 0, 0, 0, 0, -5, -33
"d:\BaiduSyncdisk\OCI\include\pkg\internal\types.h", "C++", 0, -21, 0, 0, 0, 0, 0, -2, -3, -26
"d:\BaiduSyncdisk\OCI\include\pkg\parse\parse.h", "C++", 0, -21, 0, 0, 0, 0, 0, -1, -2, -24
"d:\BaiduSyncdisk\OCI\include\pkg\util\util.h", "C++", 0, -14, 0, 0, 0, 0, 0, 0, -1, -15
"d:\BaiduSyncdisk\OCI\include\storage\driver\driver.h", "C++", 0, -22, 0, 0, 0, 0, 0, -3, -4, -29
"d:\BaiduSyncdisk\OCI\include\storage\layers.h", "C++", 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"d:\BaiduSyncdisk\OCI\include\storage\storage.h", "C++", 0, -29, 0, 0, 0, 0, 0, -17, -8, -54
"d:\BaiduSyncdisk\OCI\include\storage\utils.h", "C++", 0, -33, 0, 0, 0, 0, 0, -17, -4, -54
"d:\BaiduSyncdisk\OCI\test.cpp", "C++", 0, -30, 0, 0, 0, 0, 0, -2, -4, -36
"e:\Projects\VScodeProjects\ocibuilder\Code.go", "Go", 0, 0, 0, 0, 26, 0, 0, 3, 5, 34
"e:\Projects\VScodeProjects\ocibuilder\Dockerfile", "Docker", 0, 0, 4, 0, 0, 0, 0, 0, 4, 8
"e:\Projects\VScodeProjects\ocibuilder\Makefile", "Makefile", 0, 0, 0, 50, 0, 0, 0, 30, 23, 103
"e:\Projects\VScodeProjects\ocibuilder\README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"e:\Projects\VScodeProjects\ocibuilder\busybox\index.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"e:\Projects\VScodeProjects\ocibuilder\execute\cli\build.cpp", "C++", 0, 216, 0, 0, 0, 0, 0, 29, 18, 263
"e:\Projects\VScodeProjects\ocibuilder\execute\cli\common.cpp", "C++", 0, 106, 0, 0, 0, 0, 0, 147, 31, 284
"e:\Projects\VScodeProjects\ocibuilder\execute\cmd\build.cpp", "C++", 0, 238, 0, 0, 0, 0, 0, 97, 19, 354
"e:\Projects\VScodeProjects\ocibuilder\execute\cmd\config.cpp", "C++", 0, 15, 0, 0, 0, 0, 0, 36, 4, 55
"e:\Projects\VScodeProjects\ocibuilder\execute\cmd\images.cpp", "C++", 0, 15, 0, 0, 0, 0, 0, 21, 4, 40
